Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment 2025,Carbon Performance Alignment 2027,Carbon Performance Alignment 2028,Carbon Performance Alignment 2035,Carbon Performance Alignment 2050,Years with targets,Previous Carbon Performance Alignment 2025,Previous Carbon Performance Alignment 2027,Previous Carbon Performance Alignment 2028,Previous Carbon Performance Alignment 2035,Previous Carbon Performance Alignment 2050,Previous Years with targets,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
NovaTek,Russia,RUS,Oil & Gas,No,large,RU000A0DKVS5;US6698881090,B59HPK1;B0DK750,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,,Not Aligned,Not Aligned,2030,,,,,Not Aligned,,2020,Emissions intensity (gCO2e / MJ),,59.12353999,60.16524377,61.37867336,60.61472343,60.73572341,61.90542877,61.4487567,61.48483423,61.52091177,61.55698931,61.59306684,61.62914438,61.66522191,61.70129945,61.73737698,61.77345452,61.80953205,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. The company has set further targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology."
Novartis,Switzerland,CHE,Health Care,No,large,CH0012005267,7103065,01/12/2024,05/01/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novo-Nordisk,Denmark,DNK,Health Care,No,large,DK0060534915,#N/A,01/12/2024,01/05/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novolipetsk Steel,Russia,RUS,Steel,No,large,RU0009046452;US67011E2046,B59FPC7;B0RTNX3,01/09/2022,15/04/2022,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,No,Yes,Yes,No,Yes,No,01/02/2021,23/12/2020,Steel_01/02/2021,Not Aligned,,,Not Aligned,Not Aligned,2023,,,,,Not Aligned,,2019,Carbon intensity (tonnes of CO2 per tonne of steel),,,2.04,1.98,1.97,1.96,2.04,2.015,1.99,1.965,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Novozymes,Denmark,DNK,Health Care,No,medium,DK0060336014,B798FW0,01/12/2024,05/01/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noya Railroad,Japan,JPN,Consumer Services,No,medium,JP3649800004,6619864,01/12/2024,05/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nu Holdings,Brazil,BRA,Industrials,No,medium,KYG6683N1034,BN6NP19,01/12/2024,25/04/2024,1,new,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucor,United States of America,USA,Steel,No,medium,US6703461052,2651086,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,No,No,01/08/2024,16/07/2024,Steel_01/04/2022,,1.5 Degrees,,1.5 Degrees,National Pledges,2030,1.5 Degrees,,,1.5 Degrees,Below 2 Degrees,2030,2022,Carbon intensity (tonnes of CO2 per tonne of steel),,,,,,,,0.47,0.43,0.44,0.4329375,0.425875,0.4188125,0.41175,0.4046875,0.397625,0.3905625,0.3835,,,,,,,,,,,,,,,,,,,,,"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Nutrien,Canada,CAN,Chemicals,No,large,CA67077M1086,BDRJLN0,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nvidia,United States of America,USA,Technology,No,large,US67066G1040,2379504,01/12/2024,05/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Reilly Auto Parts,United States of America,USA,Consumer Services,No,large,US67103H1077,B65LWX6,01/12/2024,05/03/2024,1,unchanged,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,No,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-I Glass,United States of America,USA,Industrials,No,small,US67098H1041,BKLKXD2,01/12/2024,29/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCI Global,Netherlands,NLD,Chemicals,No,medium,NL0010558797,BD4TZK8,01/12/2024,05/01/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGE Energy,United States of America,USA,Electricity Utilities,No,small,US6708371033,2657802,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,No,Yes,Yes,No,Yes,Yes,No,01/09/2024,06/08/2024,Electricity Utilities_01/11/2021,,Not Aligned,,Not Aligned,Not Aligned,2030,Not Aligned,,,Not Aligned,Not Aligned,2030,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,0.71,0.63,0.65,0.66,0.63,0.55,0.56,0.63,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,,,,,,,,,,,,,,,,,,,,,"The company has set a target to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2023 World Energy Outlook’s Stated Policies Scenario (STEPS). When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
OMV,Austria,AUT,Oil & Gas,Yes,large,AT0000743059,4651459,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,01/10/2024,09/06/2024,Oil & Gas_01/10/2024,,National Pledges,,National Pledges,1.5 Degrees,2030;2040;2050,National Pledges,,,National Pledges,1.5 Degrees,2030;2040;2050,2022,Emissions intensity (gCO2e / MJ),,,,72.43090131,71.72963453,70.26367131,70.76271628,69.37488275,68.21185824,69.0544427,67.49890899,65.94337528,64.38784157,62.83230786,61.27677415,59.72124044,58.16570673,56.61017302,54.48729153,52.36441005,50.24152856,48.11864707,45.99576558,43.87288409,41.7500026,39.62712112,37.50423963,35.38135814,31.84322232,28.30508651,24.7669507,21.22881488,17.69067907,14.15254326,10.61440744,7.076271628,3.538135814,0.0,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s 2050 target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
OMV Petrom,Romania,ROU,Oil & Gas,No,large,ROSNPPACNOR9,7180411,01/12/2024,30/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obayashi,Japan,JPN,Industrials,No,medium,JP3190000004,6656407,01/12/2024,05/02/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occidental Petroleum,United States of America,USA,Oil & Gas,Yes,large,US6745991058,2655408,01/12/2024,05/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,01/10/2024,09/06/2024,Oil & Gas_01/10/2024,,National Pledges,,Below 2 Degrees,1.5 Degrees,2025;2040;2050,Not Aligned,,,Below 2 Degrees,1.5 Degrees,2025;2040;2050,2022,Emissions intensity (gCO2e / MJ),,,,78.69102215,80.21780452,79.712502,77.24214556,73.02789153,73.95112184,73.46076652,70.96963381,68.4785011,65.9873684,63.18168489,60.37600138,57.57031787,54.76463437,51.95895086,49.15326735,46.34758384,43.54190034,40.73621683,37.93053332,35.12484982,32.31916631,29.5134828,26.70779929,23.90211579,21.51190421,19.12169263,16.73148105,14.34126947,11.95105789,9.560846314,7.170634736,4.780423157,2.390211579,0.0,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s 2025 and 2040 targets cover a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Odakyu Electric Railway,Japan,JPN,Consumer Services,No,medium,JP3196000008,6656106,01/12/2024,19/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil & Natural Gas,India,IND,Oil & Gas,Yes,large,INE213A01029,6139362,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,01/10/2024,09/06/2024,Oil & Gas_01/10/2024,,Not Aligned,,Not Aligned,Not Aligned,2038,Not Aligned,,,Not Aligned,Not Aligned,,2022,Emissions intensity (gCO2e / MJ),,,,74.07920845,72.92560949,72.78336249,72.16298213,73.01733691,72.92647596,73.44101939,72.95656686,72.47211433,71.9876618,71.50320927,71.01875674,70.53430421,70.04985168,69.56539915,69.08094662,68.59649409,68.11204156,67.62758903,67.1431365,66.65868397,66.17423144,65.68977891,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has not disclosed sufficient data on any quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Oil India Ltd,India,IND,Oil & Gas,No,medium,INE274J01014,B409HQ9,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil Search,Australia,AUS,Oil & Gas,No,large,PG0008579883,6657604,01/09/2022,15/04/2022,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,,Not Aligned,Not Aligned,2030;2050,,,,,,,2020,Emissions intensity (gCO2e / MJ),,,,,,63.33277678,62.81101159,63.74406809,63.61527105,63.48647402,63.35767698,63.22887995,63.10008291,62.97128587,62.84248884,62.7136918,62.58489477,62.45609773,62.30583452,62.15557131,62.0053081,61.85504489,61.70478169,61.55451848,61.40425527,61.25399206,61.10372885,60.95346564,60.80320243,60.65293923,60.50267602,60.35241281,60.2021496,60.05188639,59.90162318,59.75135997,59.60109676,59.45083356,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s targets cover a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Oji,Japan,JPN,Paper,No,medium,JP3174410005,6657701,01/12/2024,05/02/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,Yes,Yes,Yes,No,01/08/2024,03/06/2024,Paper_01/02/2021,,Below 2 Degrees,,Below 2 Degrees,Below 2 Degrees,2030;2050,Below 2 Degrees,,,Below 2 Degrees,Below 2 Degrees,2030;2050,2022,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,,,0.595538597,0.58649831,0.624607387,0.597520073,0.570896254,0.5204479,0.469999546,0.419551192,0.369102838,0.318654484,0.26820613,0.217757776,0.167309422,0.158943951,0.15057848,0.142213009,0.133847538,0.125482067,0.117116596,0.108751124,0.100385653,0.092020182,0.083654711,0.07528924,0.066923769,0.058558298,0.050192827,0.041827356,0.033461884,0.025096413,0.016730942,0.008365471,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’ s targeted emissions intensity, TPI has assumed that the company’ s pulp, paper and paperboard production grows according to the global growth rate projected in the IEA’ s Energy Technology Perspectives model ‘Reference Technology’ scenario. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Old Dominion Freight Line,United States of America,USA,Industrials,No,medium,US6795801009,2656423,01/12/2024,30/04/2024,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olin,United States of America,USA,Chemicals,No,small,US6806652052,2658526,01/12/2024,04/05/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not Applicable,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympus,Japan,JPN,Health Care,No,large,JP3201200007,6658801,01/12/2024,18/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omnicom Group,United States of America,USA,Consumer Services,No,medium,US6819191064,2279303,01/12/2024,05/03/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omron Corp,Japan,JPN,Industrials,No,large,JP3197800000,6659428,01/12/2024,05/03/2024,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oneok,United States of America,USA,Oil & Gas Distribution,No,medium,US6826801036,2130109,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onex Corp,Canada,CAN,Financials,No,small,CA68272K1030,2659518,01/12/2024,23/04/2024,1,new,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Not Applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onsemi,United States of America,USA,Technology,No,medium,US6821891057,2583576,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,United States of America,USA,Technology,No,large,US68389X1054,2661568,01/12/2024,05/03/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,France,FRA,Telecommunications,No,large,FR0000133308,5176177,01/12/2024,05/03/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbia,Mexico,MEX,Chemicals,No,medium,MX01OR010004,BH3T8K8,01/12/2024,05/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orica,Australia,AUS,Basic Materials,Yes,large,AU000000ORI1,6458001,01/12/2024,05/03/2024,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orient Overseas,Hong Kong,HKG,Shipping,No,large,BMG677491539,6659116,01/12/2024,30/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,01/02/2024,24/11/2023,Shipping_01/02/2022,,1.5 Degrees,,Below 2 Degrees,International Pledges,2030,,,,,,,2022,Carbon intensity (gCO2 / t-km),,,,5.562,5.22,4.27,4.13,4.062,4.125,4.22,4.128050459,4.036100917,3.944151376,3.852201835,3.760252294,3.668302752,3.576353211,3.48440367,,,,,,,,,,,,,,,,,,,,,"TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Oriental Energy,China,CHN,Oil & Gas (Other),No,medium,CNE1000009S3,B2PP3F9,01/12/2024,30/04/2024,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental Land,Japan,JPN,Consumer Services,No,large,JP3198900007,6648891,01/12/2024,26/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental Shiraishi,Japan,JPN,Cement,No,small,JP3197950003,BNDLRY3,01/12/2024,26/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Energy (Electricity Utility),Australia,AUS,Electricity Utilities,Yes,large,AU000000ORG5,6214861,01/12/2024,11/04/2024,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,No,No,No,Yes,01/10/2024,09/06/2024,Electricity Utilities_01/10/2024,,Not Aligned,,Not Aligned,Not Aligned,,Not Aligned,,,Not Aligned,Below 2 Degrees,2023;2032;2050,2022,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.775341669,0.767776552,0.819957761,0.809122843,0.843857748,0.871170987,0.864929449,0.878623527,0.865177361,0.898122392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Origin Energy (Oil & Gas),Australia,AUS,Oil & Gas,No,large,AU000000ORG5,6214861,01/12/2024,12/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,01/10/2024,09/06/2024,Oil & Gas_01/10/2024,,Below 2 Degrees,,Below 2 Degrees,1.5 Degrees,2050,1.5 Degrees,,,Below 2 Degrees,1.5 Degrees,2022;2030;2050,2022,Emissions intensity (gCO2e / MJ),,76.59856944,76.60683196,71.2115153,74.44300438,71.19854224,66.28324321,68.12536591,65.92355809,66.66132822,64.2805665,61.89980478,59.51904305,57.13828133,54.75751961,52.37675789,49.99599617,47.61523444,45.23447272,42.853711,40.47294928,38.09218755,35.71142583,33.33066411,30.94990239,28.56914067,26.18837894,23.80761722,21.4268555,19.04609378,16.66533206,14.28457033,11.90380861,9.523046889,7.142285166,4.761523444,2.380761722,0.0,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company's 2016 carbon intensity has been calculated by TPI using the company's Scope 3 category 3 2017 emissions figure.
The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s 2022 target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure.
The company has set medium-term targets to reduce its emission intensity, but they could not be included in this assessment because they were inconsistent with TPI’s methodology. When interpreting TPI Carbon Performance data, it is important to bear in mind that climate science shows temperature change is proportional to cumulative absolute CO2 emissions."
Orix Corporation,Japan,JPN,Financials,No,large,JP3200450009,6661144,01/12/2024,18/04/2024,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Applicable,No,Yes,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orkla,Norway,NOR,Food Producers,No,medium,NO0003733800,B1VQF42,01/12/2024,05/04/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,Yes,No,No,01/11/2024,02/10/2024,Food Producers_01/01/2024,,Below 2 Degrees,,1.5 Degrees,1.5 Degrees,2025;2030;2050,,,,,,,2023,Carbon intensity (tCO2e/tonnes agricultural input),,,,,1.101221623,1.333580069,1.521344528,2.019518147,3.270904579,3.171958423,2.496409515,2.29767686,2.098944205,1.960209677,1.82147515,1.682740623,1.544006096,1.405271569,1.33500799,1.264744412,1.194480834,1.124217255,1.053953677,0.983690098,0.91342652,0.843162941,0.772899363,0.702635784,0.632372206,0.562108628,0.491845049,0.421581471,0.351317892,0.281054314,0.210790735,0.140527157,0.070263578,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the agricultural inputs used by the company grow according to the global agricultural input production forecasts from several Integrated Assessment Models under a Business-as-Usual scenario."
Orlen,Poland,POL,Oil & Gas,No,medium,PLPKN0000018,5810066,01/12/2024,02/01/2024,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
